split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
holdout,turbine_1,4,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2410706,0.3173858,0.1646667,0.2531864,0.3936409,0.4982656,2.9080000,6.4626667
holdout,turbine_1,5,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2098193,0.2592822,0.2050000,0.2591300,0.3357631,0.4146909,2.8820000,6.0893333
holdout,turbine_1,6,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2548717,0.3046212,0.3050000,0.4434517,0.2351462,0.3266197,2.7320000,5.1853333
holdout,turbine_1,7,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3532608,0.3790500,0.4696667,0.6000310,0.0692771,0.1311145,2.6700000,3.7503333
holdout,turbine_1,8,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2916646,0.3155126,0.4160000,0.5144620,0.1356580,0.2022499,2.4940000,4.5073333
holdout,turbine_1,9,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2849326,0.3115057,0.4106667,0.5120579,0.1469239,0.2121644,2.4460000,4.0583333
holdout,turbine_1,10,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3434669,0.3599584,0.4580000,0.5748401,0.0878513,0.1260236,2.5100000,4.0200000
holdout,turbine_1,11,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3543334,0.3752541,0.4703333,0.5969371,0.0764397,0.1147123,2.6540000,3.5780000
holdout,turbine_1,12,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3373597,0.3795649,0.4396667,0.5971083,0.1092108,0.2139350,2.8560000,3.0960000
holdout,turbine_1,13,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3541756,0.3904412,0.4110000,0.5920468,0.2120678,0.3698604,2.8820000,4.1440000
